Time - Strain	Amplitude - Strain
0.204	0.00239774
0.2045	0.00239829
0.205	0.00239606
0.2055	0.00239598
0.206	0.00239639
0.2065	0.00239739
0.207	0.00239698
0.2075	0.00239729
0.208	0.0023984
0.2085	0.00239688
0.209	0.00239595
0.2095	0.00239636
0.21	0.00239835
0.2105	0.0023958
0.211	0.00239836
0.2115	0.00239552
0.212	0.00239555
0.2125	0.00239557
0.213	0.00239656
0.2135	0.00239702
0.214	0.00239601
0.2145	0.00239677
0.215	0.00239759
0.2155	0.00239717
0.216	0.00239513
0.2165	0.00239643
0.217	0.00239734
0.2175	0.00239674
0.218	0.00239672
0.2185	0.00239483
0.219	0.00239705
0.2195	0.00239668
0.22	0.00239748
0.2205	0.00239721
0.221	0.00239728
0.2215	0.0023967
0.222	0.00239685
0.2225	0.0023973
0.223	0.00239572
0.2235	0.00239642
0.224	0.00239633
0.2245	0.0023951
0.225	0.00239734
0.2255	0.00239832
0.226	0.00239673
0.2265	0.0023969
0.227	0.00239663
0.2275	0.00239837
0.228	0.00239748
0.2285	0.00239521
0.229	0.00239612
0.2295	0.00239784
0.23	0.00239656
0.2305	0.00239558
0.231	0.00239676
0.2315	0.00239763
0.232	0.00239694
0.2325	0.00239722
0.233	0.00239622
0.2335	0.0023955
0.234	0.0023981
0.2345	0.00239657
0.235	0.00239732
0.2355	0.0023971
0.236	0.00239759
0.2365	0.00239576
0.237	0.00239732
0.2375	0.00239866
0.238	0.00239555
0.2385	0.00239943
0.239	0.00239692
0.2395	0.0023975
0.24	0.00239789
0.2405	0.00239643
0.241	0.00239603
0.2415	0.00239653
0.242	0.00239706
0.2425	0.00239685
0.243	0.00239545
0.2435	0.00239815
0.244	0.00239601
0.2445	0.00239623
0.245	0.00239671
0.2455	0.00239727
0.246	0.00239369
0.2465	0.00239689
0.247	0.00239619
0.2475	0.00239513
0.248	0.00239485
0.2485	0.00239648
0.249	0.00239725
0.2495	0.00239693
0.25	0.00239542
0.2505	0.00239764
0.251	0.00239888
0.2515	0.0023968
0.252	0.00239458
0.2525	0.00239726
0.253	0.00239777
0.2535	0.0023949
0.254	0.0023971
0.2545	0.00239639
0.255	0.00239717
0.2555	0.00239777
0.256	0.00239569
0.2565	0.00239807
0.257	0.00239658
0.2575	0.00239648
0.258	0.00239574
0.2585	0.00239676
0.259	0.00239599
0.2595	0.00239688
0.26	0.00239541
0.2605	0.00239385
0.261	0.00239646
0.2615	0.00239583
0.262	0.00239759
0.2625	0.00239606
0.263	0.00239646
0.2635	0.00239661
0.264	0.00239858
0.2645	0.00239708
0.265	0.00239759
0.2655	0.00239695
0.266	0.00239601
0.2665	0.002398
0.267	0.00239772
0.2675	0.00239922
0.268	0.00239755
0.2685	0.00239703
0.269	0.00239685
0.2695	0.00239801
0.27	0.00239692
0.2705	0.00239611
0.271	0.00239828
0.2715	0.00239717
0.272	0.00239753
0.2725	0.00239597
0.273	0.00239723
0.2735	0.00239846
0.274	0.00239681
0.2745	0.00239673
0.275	0.00239681
0.2755	0.00239717
0.276	0.00239763
0.2765	0.00239837
0.277	0.00239625
0.2775	0.00239625
0.278	0.00239662
0.2785	0.00239687
0.279	0.00239711
0.2795	0.00239756
0.28	0.00239728
0.2805	0.00239771
0.281	0.00239658
0.2815	0.00239783
0.282	0.00239658
0.2825	0.00239726
0.283	0.00239638
0.2835	0.0023971
0.284	0.00239666
0.2845	0.00239705
0.285	0.00239681
0.2855	0.00239888
0.286	0.00239626
0.2865	0.00239696
0.287	0.00239786
0.2875	0.00239715
0.288	0.00239619
0.2885	0.00239711
0.289	0.00239759
0.2895	0.00239563
0.29	0.00239698
0.2905	0.00239405
0.291	0.00239735
0.2915	0.0023969
0.292	0.00239599
0.2925	0.0023968
0.293	0.00239624
0.2935	0.00239609
0.294	0.00239562
0.2945	0.00239602
0.295	0.002397
0.2955	0.00239803
0.296	0.00239469
0.2965	0.00239682
0.297	0.00239645
0.2975	0.00239682
0.298	0.00239693
0.2985	0.00239764
0.299	0.00239824
0.2995	0.00239662
0.3	0.00239691
0.3005	0.00239565
0.301	0.00239707
0.3015	0.00239868
0.302	0.00239833
0.3025	0.00239698
0.303	0.00239753
0.3035	0.00239882
0.304	0.00239816
0.3045	0.00239717
0.305	0.00239757
0.3055	0.00239659
0.306	0.00239829
0.3065	0.00239506
0.307	0.00239656
0.3075	0.00239571
0.308	0.00239773
0.3085	0.00239705
0.309	0.0023967
0.3095	0.00239651
0.31	0.00239512
0.3105	0.00239774
0.311	0.00239664
0.3115	0.00239556
0.312	0.00239688
0.3125	0.00239554
0.313	0.00239643
0.3135	0.00239632
0.314	0.00239692
0.3145	0.00239659
0.315	0.00239611
0.3155	0.00239651
0.316	0.00239739
0.3165	0.00239593
0.317	0.00239518
0.3175	0.00239595
0.318	0.00239552
0.3185	0.00239832
0.319	0.00239608
0.3195	0.00239859
0.32	0.00239699
0.3205	0.00239484
0.321	0.00239745
0.3215	0.00239837
0.322	0.00239618
0.3225	0.00239536
0.323	0.00239501
0.3235	0.00239577
0.324	0.00239785
0.3245	0.00239738
0.325	0.00239621
0.3255	0.00239508
0.326	0.002397
0.3265	0.00239756
0.327	0.00239592
0.3275	0.0023963
0.328	0.0023959
0.3285	0.00239397
0.329	0.00239561
0.3295	0.00239699
0.33	0.0023968
0.3305	0.00239603
0.331	0.00239513
0.3315	0.00239534
0.332	0.0023957
0.3325	0.00239698
0.333	0.00239753
0.3335	0.00239678
0.334	0.00239872
0.3345	0.00239611
0.335	0.0023968
0.3355	0.00239695
0.336	0.0023972
0.3365	0.00239665
0.337	0.00239594
0.3375	0.00239832
0.338	0.00239666
0.3385	0.00239851
0.339	0.00239548
0.3395	0.00239635
0.34	0.00239827
0.3405	0.00239635
0.341	0.00239798
0.3415	0.00239761
0.342	0.00239564
0.3425	0.00239558
0.343	0.00239765
0.3435	0.00239636
0.344	0.00239644
0.3445	0.00239559
0.345	0.00239635
0.3455	0.00239684
0.346	0.00239747
0.3465	0.00239698
0.347	0.00239564
0.3475	0.00239582
0.348	0.00239481
0.3485	0.00239562
0.349	0.0023962
0.3495	0.00239626
0.35	0.00239703
0.3505	0.00239627
0.351	0.00239672
0.3515	0.00239608
0.352	0.00239737
0.3525	0.0023975
0.353	0.00239669
0.3535	0.00239815
0.354	0.00239577
0.3545	0.00239922
0.355	0.00239691
0.3555	0.00239635
0.356	0.00239651
0.3565	0.00239827
0.357	0.0023975
0.3575	0.00239541
0.358	0.00239536
0.3585	0.00239787
0.359	0.00239658
0.3595	0.00239657
0.36	0.00239595
0.3605	0.00239795
0.361	0.00239635
0.3615	0.00239663
0.362	0.00239514
0.3625	0.00239824
0.363	0.00239627
0.3635	0.00239784
0.364	0.00239868
0.3645	0.00239808
0.365	0.00239783
0.3655	0.00239654
0.366	0.00239816
0.3665	0.00239627
0.367	0.00239621
0.3675	0.00239746
0.368	0.00239645
0.3685	0.00239723
0.369	0.00239642
0.3695	0.00239769
0.37	0.00239616
0.3705	0.00239825
0.371	0.00239813
0.3715	0.00239751
0.372	0.00239719
0.3725	0.00239778
0.373	0.00239888
0.3735	0.00239837
0.374	0.00239711
0.3745	0.00239833
0.375	0.0023962
0.3755	0.00239717
0.376	0.00239787
0.3765	0.0023954
0.377	0.00239649
0.3775	0.00239526
0.378	0.00239693
0.3785	0.00239699
0.379	0.00239613
0.3795	0.00239535
0.38	0.00239643
0.3805	0.00239528
0.381	0.0023972
0.3815	0.00239574
0.382	0.00239602
0.3825	0.00239735
0.383	0.00239729
0.3835	0.00239675
0.384	0.00239843
0.3845	0.00239909
0.385	0.00239633
0.3855	0.00239849
0.386	0.00239744
0.3865	0.00239784
0.387	0.00239692
0.3875	0.00239837
0.388	0.00239741
0.3885	0.00239633
0.389	0.00239828
0.3895	0.00239548
0.39	0.00239686
0.3905	0.00239639
0.391	0.00239746
0.3915	0.00239612
0.392	0.00239745
0.3925	0.0023968
0.393	0.00239524
0.3935	0.00239582
0.394	0.00239717
0.3945	0.00239804
0.395	0.00239544
0.3955	0.0023971
0.396	0.0023978
0.3965	0.00239489
0.397	0.00239648
0.3975	0.00239726
0.398	0.00239522
0.3985	0.00239678
0.399	0.00239679
0.3995	0.00239707
0.4	0.00239651
0.4005	0.00239736
0.401	0.00239796
0.4015	0.00239679
0.402	0.00239694
0.4025	0.00239745
0.403	0.00239831
0.4035	0.00239581
0.404	0.00239635
0.4045	0.00239589
0.405	0.00239591
0.4055	0.00239786
0.406	0.00239655
0.4065	0.00239674
0.407	0.00239647
0.4075	0.00239612
0.408	0.00239664
0.4085	0.00239766
0.409	0.00239656
0.4095	0.00239809
0.41	0.00239458
0.4105	0.00239701
0.411	0.00239588
0.4115	0.00239616
0.412	0.00239848
0.4125	0.00239652
0.413	0.00239656
0.4135	0.00239615
0.414	0.00239653
0.4145	0.002396
0.415	0.00239804
0.4155	0.00239688
0.416	0.00239733
0.4165	0.00239649
0.417	0.00239589
0.4175	0.00239807
0.418	0.00239649
0.4185	0.00239799
0.419	0.0023974
0.4195	0.00239687
0.42	0.00239639
0.4205	0.00239463
0.421	0.00239756
0.4215	0.00239743
0.422	0.00239837
0.4225	0.00239626
0.423	0.00239715
0.4235	0.00239751
0.424	0.00239523
0.4245	0.00239516
0.425	0.00239617
0.4255	0.00239676
0.426	0.00239584
0.4265	0.00239721
0.427	0.00239334
0.4275	0.00239693
0.428	0.00239591
0.4285	0.00239681
0.429	0.00239509
0.4295	0.00239762
0.43	0.00239697
0.4305	0.00239445
0.431	0.00239506
0.4315	0.00239619
0.432	0.00239485
0.4325	0.0023978
0.433	0.00239742
0.4335	0.00239743
0.434	0.00239719
0.4345	0.00239831
0.435	0.00239703
0.4355	0.00239513
0.436	0.00239854
0.4365	0.0023978
0.437	0.00239477
0.4375	0.00239667
0.438	0.00239763
0.4385	0.00239656
0.439	0.00239739
0.4395	0.00239541
0.44	0.00239654
0.4405	0.00239614
0.441	0.00239754
0.4415	0.00239629
0.442	0.00239729
0.4425	0.00239617
0.443	0.00239595
0.4435	0.00239701
0.444	0.00239612
0.4445	0.00239656
0.445	0.00239751
0.4455	0.00239756
0.446	0.00239569
0.4465	0.00239642
0.447	0.00239701
0.4475	0.00239643
0.448	0.00239705
0.4485	0.0023958
0.449	0.00239728
0.4495	0.00239638
0.45	0.00239549
0.4505	0.00239603
0.451	0.00239699
0.4515	0.00239689
0.452	0.00239683
0.4525	0.00239832
0.453	0.0023973
0.4535	0.00239907
0.454	0.00239692
0.4545	0.002398
0.455	0.00239795
0.4555	0.0023966
0.456	0.00239802
0.4565	0.00239664
0.457	0.00239648
0.4575	0.00239563
0.458	0.0023967
0.4585	0.00239809
0.459	0.00239622
0.4595	0.00239608
0.46	0.00239621
0.4605	0.00239643
0.461	0.00239566
0.4615	0.00239792
0.462	0.00239722
0.4625	0.00239699
0.463	0.00239474
0.4635	0.00239651
0.464	0.0023958
0.4645	0.00239535
0.465	0.0023983
0.4655	0.00239777
0.466	0.00239633
0.4665	0.002396
0.467	0.00239483
0.4675	0.00239668
0.468	0.00239796
0.4685	0.00239693
0.469	0.00239937
0.4695	0.00239676
0.47	0.00239975
0.4705	0.00239531
0.471	0.00239721
0.4715	0.00239773
0.472	0.00239778
0.4725	0.00240008
0.473	0.00239818
0.4735	0.00239911
0.474	0.00239766
0.4745	0.00239602
0.475	0.0023969
0.4755	0.00239734
0.476	0.00239682
0.4765	0.00239657
0.477	0.00239664
0.4775	0.00239678
0.478	0.00239615
0.4785	0.0023956
0.479	0.00239728
0.4795	0.00239572
0.48	0.0023963
0.4805	0.00239609
0.481	0.00239675
0.4815	0.00239616
0.482	0.00239659
0.4825	0.00239633
0.483	0.00239717
0.4835	0.00239575
0.484	0.00239557
0.4845	0.00239679
0.485	0.00239665
0.4855	0.00239611
0.486	0.00239754
0.4865	0.00239699
0.487	0.00239638
0.4875	0.00239623
0.488	0.00239749
0.4885	0.00239751
0.489	0.00239782
0.4895	0.00239546
0.49	0.00239561
0.4905	0.00239832
0.491	0.00239824
0.4915	0.00239802
0.492	0.00239692
0.4925	0.00239604
0.493	0.00239535
0.4935	0.00239821
0.494	0.00239821
0.4945	0.00239584
0.495	0.00239611
0.4955	0.00239495
0.496	0.00239618
0.4965	0.00239617
0.497	0.002396
0.4975	0.00239621
0.498	0.00239634
0.4985	0.00239608
0.499	0.00239792
0.4995	0.00239799
0.5	0.00239732
0.5005	0.00239662
0.501	0.00239793
0.5015	0.00239721
0.502	0.0023973
0.5025	0.00239714
0.503	0.00239632
0.5035	0.00239748
0.504	0.00239806
0.5045	0.00239814
0.505	0.00239775
0.5055	0.002398
0.506	0.00239861
0.5065	0.00239644
0.507	0.0023963
0.5075	0.00239612
0.508	0.00239659
0.5085	0.00239712
0.509	0.00239763
0.5095	0.00239725
0.51	0.00239613
0.5105	0.00239737
0.511	0.00239828
0.5115	0.0023973
0.512	0.00239768
0.5125	0.00239755
0.513	0.00239723
0.5135	0.00239737
0.514	0.00239746
0.5145	0.00239667
0.515	0.00239567
0.5155	0.00239816
0.516	0.00239687
0.5165	0.00239622
0.517	0.00239528
0.5175	0.00239775
0.518	0.00239862
0.5185	0.00239778
0.519	0.00239609
0.5195	0.00239717
0.52	0.00239567
0.5205	0.0023967
0.521	0.00239645
0.5215	0.00239764
0.522	0.00239864
0.5225	0.00239942
0.523	0.00239949
0.5235	0.00239679
0.524	0.00239722
0.5245	0.00239774
0.525	0.00239733
0.5255	0.00239608
0.526	0.00239712
0.5265	0.00239653
0.527	0.00239601
0.5275	0.00239577
0.528	0.00239689
0.5285	0.00239638
0.529	0.00239716
0.5295	0.00239665
0.53	0.00239526
0.5305	0.00239777
0.531	0.00239558
0.5315	0.0023962
0.532	0.0023969
0.5325	0.00239629
0.533	0.00239838
0.5335	0.00239801
0.534	0.00239774
0.5345	0.00239643
0.535	0.00239655
0.5355	0.00239807
0.536	0.00239732
0.5365	0.00239481
0.537	0.00239858
0.5375	0.00239903
0.538	0.00239792
0.5385	0.00239693
0.539	0.00239814
0.5395	0.00239788
0.54	0.0023962
0.5405	0.0023973
0.541	0.00239624
0.5415	0.00239895
0.542	0.00239615
0.5425	0.00239596
0.543	0.0023968
0.5435	0.00239689
0.544	0.00239604
0.5445	0.00239756
0.545	0.00239501
0.5455	0.00239761
0.546	0.00239673
0.5465	0.00239834
0.547	0.0023953
0.5475	0.00239647
0.548	0.00239876
0.5485	0.00239486
0.549	0.00239759
0.5495	0.00239473
0.55	0.00239699
0.5505	0.0023963
0.551	0.00239822
0.5515	0.00239792
0.552	0.00239831
0.5525	0.00239683
0.553	0.00239668
0.5535	0.00239778
0.554	0.00239774
0.5545	0.00239584
0.555	0.00239687
0.5555	0.00239732
0.556	0.00239607
0.5565	0.00239643
0.557	0.00239666
0.5575	0.00239653
0.558	0.00239713
0.5585	0.00239696
0.559	0.00239645
0.5595	0.00239573
0.56	0.00239621
0.5605	0.00239608
0.561	0.00239619
0.5615	0.00239665
0.562	0.0023971
0.5625	0.00239666
0.563	0.00239494
0.5635	0.00239572
0.564	0.0023968
0.5645	0.00239606
0.565	0.00239506
0.5655	0.00239755
0.566	0.00239779
0.5665	0.00239712
0.567	0.0023969
0.5675	0.00239787
0.568	0.00239658
0.5685	0.00239708
0.569	0.00239695
0.5695	0.00239744
0.57	0.00239868
0.5705	0.0023981
0.571	0.00239833
0.5715	0.00239633
0.572	0.00239634
0.5725	0.00239813
0.573	0.0023968
0.5735	0.00239716
0.574	0.00239778
0.5745	0.00239649
0.575	0.00239621
0.5755	0.0023987
0.576	0.00239625
0.5765	0.00240015
0.577	0.00239577
0.5775	0.00239795
0.578	0.00239711
0.5785	0.00239848
0.579	0.00239655
0.5795	0.00239653
0.58	0.00239848
0.5805	0.00239725
0.581	0.00239595
0.5815	0.00239799
0.582	0.00239819
0.5825	0.00239762
0.583	0.00239631
0.5835	0.00239807
0.584	0.00239792
0.5845	0.00239787
0.585	0.00239854
0.5855	0.00239666
0.586	0.00239689
0.5865	0.00239856
0.587	0.00239673
0.5875	0.0023963
0.588	0.00239709
0.5885	0.002397
0.589	0.00239713
0.5895	0.00239844
0.59	0.00239867
0.5905	0.00239789
0.591	0.00239635
0.5915	0.00239606
0.592	0.00239804
0.5925	0.00239579
0.593	0.00239644
0.5935	0.00239764
0.594	0.00239565
0.5945	0.0023959
0.595	0.00239688
0.5955	0.00239729
0.596	0.00239699
0.5965	0.0023972
0.597	0.0023971
0.5975	0.00239494
0.598	0.00239776
0.5985	0.00239588
0.599	0.00239733
0.5995	0.00239668
0.6	0.00239588
0.6005	0.00239807
0.601	0.00239715
0.6015	0.00239702
0.602	0.00239764
0.6025	0.00239908
0.603	0.00239646
0.6035	0.00239764
0.604	0.00239663
0.6045	0.00239613
0.605	0.00239878
0.6055	0.00239771
0.606	0.00239738
0.6065	0.00239662
0.607	0.00239748
0.6075	0.00239599
0.608	0.00239636
0.6085	0.00239503
0.609	0.00239757
0.6095	0.00239736
0.61	0.0023964
0.6105	0.0023964
0.611	0.00239406
0.6115	0.00239676
0.612	0.00239625
0.6125	0.00239738
0.613	0.00239625
0.6135	0.00239751
0.614	0.00239761
0.6145	0.00239856
0.615	0.00239551
0.6155	0.0023958
0.616	0.00239615
0.6165	0.00239823
0.617	0.00239807
0.6175	0.00239831
0.618	0.00239719
0.6185	0.00239756
0.619	0.00239804
0.6195	0.00239823
0.62	0.0023981
0.6205	0.00239768
0.621	0.0023965
0.6215	0.00239739
0.622	0.00239724
0.6225	0.00239638
0.623	0.00239744
0.6235	0.00239633
0.624	0.00239591
0.6245	0.00239608
0.625	0.00239635
0.6255	0.00239515
0.626	0.0023962
0.6265	0.00239564
0.627	0.00239698
0.6275	0.00239641
0.628	0.00239679
0.6285	0.00239596
0.629	0.00239547
0.6295	0.00239574
0.63	0.00239553
0.6305	0.00239489
0.631	0.00239486
0.6315	0.00239652
0.632	0.00239705
0.6325	0.00239849
0.633	0.00239773
0.6335	0.00239654
0.634	0.00239642
0.6345	0.0023965
0.635	0.0023993
0.6355	0.00239688
0.636	0.00239714
0.6365	0.00239576
0.637	0.00239681
0.6375	0.00239743
0.638	0.00239759
0.6385	0.00239622
0.639	0.00239808
0.6395	0.0023973
0.64	0.00239905
0.6405	0.00239829
0.641	0.00239471
0.6415	0.00239568
0.642	0.00239607
0.6425	0.00239743
0.643	0.00239759
0.6435	0.00239882
0.644	0.00239608
0.6445	0.00239634
0.645	0.00239786
0.6455	0.00239685
0.646	0.00239667
0.6465	0.00239653
0.647	0.00239625
0.6475	0.00239619
0.648	0.00239572
0.6485	0.00239676
0.649	0.00239526
0.6495	0.0023984
0.65	0.00239662
0.6505	0.00239753
0.651	0.00239729
0.6515	0.00239682
0.652	0.0023964
0.6525	0.00239728
0.653	0.00239732
0.6535	0.00239893
0.654	0.00239672
0.6545	0.00239808
0.655	0.00239685
0.6555	0.00239621
0.656	0.00239767
0.6565	0.00239666
0.657	0.00239484
0.6575	0.00239472
0.658	0.00239657
0.6585	0.00239819
0.659	0.00239685
0.6595	0.00239675
0.66	0.00239646
0.6605	0.00239717
0.661	0.00239623
0.6615	0.00239585
0.662	0.00239754
0.6625	0.00239666
0.663	0.00239489
0.6635	0.00239728
0.664	0.00239677
0.6645	0.00239836
0.665	0.00239694
