date,sunrise,transit,sunset,daylength
2018-03-19,07:24:34,13:26:59,19:29:23,12:04:49
2018-03-20,07:22:59,13:26:41,19:30:23,12:07:23
2018-03-21,07:21:24,13:26:23,19:31:22,12:09:57
2018-03-22,07:19:49,13:26:05,19:32:21,12:12:31
2018-03-23,07:18:14,13:25:47,19:33:20,12:15:05
2018-03-24,07:16:39,13:25:29,19:34:19,12:17:39
2018-03-25,07:15:04,13:25:11,19:35:18,12:20:13
2018-03-26,07:13:29,13:24:53,19:36:17,12:22:47
2018-03-27,07:11:55,13:24:35,19:37:15,12:25:20
2018-03-28,07:10:20,13:24:17,19:38:14,12:27:54
2018-03-29,07:08:45,13:23:59,19:39:12,12:30:27
2018-03-30,07:07:11,13:23:41,19:40:11,12:33:00
2018-03-31,07:05:36,13:23:23,19:41:09,12:35:32
2018-04-01,07:04:02,13:23:05,19:42:07,12:38:05
2018-04-02,07:02:28,13:22:47,19:43:06,12:40:37
2018-04-03,07:00:55,13:22:29,19:44:04,12:43:09
2018-04-04,06:59:21,13:22:12,19:45:02,12:45:40
2018-04-05,06:57:48,13:21:55,19:46:01,12:48:12
2018-04-06,06:56:16,13:21:37,19:46:59,12:50:42
2018-04-07,06:54:44,13:21:20,19:47:57,12:53:13
2018-04-08,06:53:12,13:21:04,19:48:55,12:55:43
2018-04-09,06:51:41,13:20:47,19:49:54,12:58:12
2018-04-10,06:50:10,13:20:31,19:50:52,13:00:42
2018-04-11,06:48:40,13:20:15,19:51:50,13:03:10
2018-04-12,06:47:10,13:19:59,19:52:49,13:05:38
2018-04-13,06:45:41,13:19:44,19:53:47,13:08:06
2018-04-14,06:44:12,13:19:29,19:54:45,13:10:33
2018-04-15,06:42:44,13:19:14,19:55:44,13:12:59
2018-04-16,06:41:17,13:19:00,19:56:42,13:15:25
2018-04-17,06:39:51,13:18:46,19:57:41,13:17:50
2018-04-18,06:38:25,13:18:32,19:58:39,13:20:14
2018-04-19,06:37:00,13:18:19,19:59:38,13:22:38
2018-04-20,06:35:36,13:18:06,20:00:36,13:25:00
2018-04-21,06:34:12,13:17:54,20:01:35,13:27:22
2018-04-22,06:32:50,13:17:42,20:02:34,13:29:43
2018-04-23,06:31:28,13:17:30,20:03:32,13:32:04
2018-04-24,06:30:07,13:17:19,20:04:31,13:34:23
2018-04-25,06:28:47,13:17:08,20:05:29,13:36:42
2018-04-26,06:27:29,13:16:58,20:06:28,13:38:59
2018-04-27,06:26:11,13:16:49,20:07:27,13:41:15
2018-04-28,06:24:54,13:16:40,20:08:25,13:43:31
2018-04-29,06:23:38,13:16:31,20:09:24,13:45:45
2018-04-30,06:22:24,13:16:23,20:10:22,13:47:58
2018-05-01,06:21:10,13:16:15,20:11:20,13:50:10
2018-05-02,06:19:58,13:16:08,20:12:19,13:52:20
2018-05-03,06:18:47,13:16:02,20:13:17,13:54:29
2018-05-04,06:17:37,13:15:56,20:14:15,13:56:37
2018-05-05,06:16:28,13:15:50,20:15:13,13:58:44
2018-05-06,06:15:21,13:15:46,20:16:10,14:00:49
2018-05-07,06:14:15,13:15:41,20:17:08,14:02:52
2018-05-08,06:13:10,13:15:38,20:18:05,14:04:54
2018-05-09,06:12:07,13:15:35,20:19:02,14:06:55
2018-05-10,06:11:05,13:15:32,20:19:59,14:08:53
2018-05-11,06:10:05,13:15:30,20:20:56,14:10:50
2018-05-12,06:09:06,13:15:29,20:21:52,14:12:46
2018-05-13,06:08:08,13:15:28,20:22:48,14:14:39
2018-05-14,06:07:12,13:15:28,20:23:43,14:16:31
2018-05-15,06:06:18,13:15:28,20:24:38,14:18:20
2018-05-16,06:05:25,13:15:29,20:25:33,14:20:08
2018-05-17,06:04:33,13:15:30,20:26:27,14:21:53
2018-05-18,06:03:44,13:15:32,20:27:21,14:23:37
2018-05-19,06:02:55,13:15:35,20:28:14,14:25:18
2018-05-20,06:02:09,13:15:38,20:29:07,14:26:57
2018-05-21,06:01:24,13:15:41,20:29:59,14:28:34
2018-05-22,06:00:41,13:15:46,20:30:50,14:30:08
2018-05-23,06:00:00,13:15:50,20:31:41,14:31:41
2018-05-24,05:59:20,13:15:56,20:32:31,14:33:10
2018-05-25,05:58:42,13:16:01,20:33:20,14:34:37
2018-05-26,05:58:06,13:16:08,20:34:09,14:36:02
2018-05-27,05:57:32,13:16:14,20:34:56,14:37:24
2018-05-28,05:57:00,13:16:21,20:35:43,14:38:43
2018-05-29,05:56:29,13:16:29,20:36:29,14:39:59
2018-05-30,05:56:00,13:16:37,20:37:14,14:41:13
2018-05-31,05:55:33,13:16:46,20:37:58,14:42:24
2018-06-01,05:55:08,13:16:54,20:38:41,14:43:32
2018-06-02,05:54:45,13:17:04,20:39:23,14:44:37
2018-06-03,05:54:24,13:17:13,20:40:03,14:45:39
2018-06-04,05:54:04,13:17:24,20:40:43,14:46:38
2018-06-05,05:53:47,13:17:34,20:41:21,14:47:34
2018-06-06,05:53:31,13:17:45,20:41:58,14:48:27
2018-06-07,05:53:17,13:17:56,20:42:34,14:49:16
2018-06-08,05:53:05,13:18:07,20:43:09,14:50:03
2018-06-09,05:52:55,13:18:19,20:43:42,14:50:46
2018-06-10,05:52:47,13:18:30,20:44:14,14:51:26
2018-06-11,05:52:41,13:18:42,20:44:44,14:52:03
2018-06-12,05:52:36,13:18:55,20:45:13,14:52:36
2018-06-13,05:52:34,13:19:07,20:45:40,14:53:06
2018-06-14,05:52:33,13:19:20,20:46:06,14:53:33
2018-06-15,05:52:34,13:19:33,20:46:31,14:53:56
2018-06-16,05:52:37,13:19:45,20:46:53,14:54:16
2018-06-17,05:52:42,13:19:58,20:47:15,14:54:32
2018-06-18,05:52:49,13:20:11,20:47:34,14:54:45
2018-06-19,05:52:57,13:20:24,20:47:52,14:54:54
2018-06-20,05:53:07,13:20:37,20:48:08,14:55:00
2018-06-21,05:53:19,13:20:51,20:48:22,14:55:03
2018-06-22,05:53:32,13:21:04,20:48:35,14:55:02
2018-06-23,05:53:48,13:21:17,20:48:45,14:54:57
2018-06-24,05:54:05,13:21:29,20:48:54,14:54:49
2018-06-25,05:54:23,13:21:42,20:49:01,14:54:38
2018-06-26,05:54:43,13:21:55,20:49:07,14:54:23
2018-06-27,05:55:05,13:22:08,20:49:10,14:54:05
2018-06-28,05:55:28,13:22:20,20:49:12,14:53:43
2018-06-29,05:55:53,13:22:32,20:49:11,14:53:18
2018-06-30,05:56:19,13:22:44,20:49:09,14:52:50
2018-07-01,05:56:47,13:22:56,20:49:05,14:52:18
2018-07-02,05:57:16,13:23:07,20:48:59,14:51:43
2018-07-03,05:57:46,13:23:19,20:48:51,14:51:04
2018-07-04,05:58:18,13:23:30,20:48:41,14:50:23
2018-07-05,05:58:51,13:23:40,20:48:29,14:49:38
2018-07-06,05:59:25,13:23:50,20:48:15,14:48:50
2018-07-07,06:00:01,13:24:00,20:48:00,14:47:59
2018-07-08,06:00:37,13:24:10,20:47:42,14:47:04
2018-07-09,06:01:15,13:24:19,20:47:23,14:46:07
2018-07-10,06:01:54,13:24:28,20:47:01,14:45:07
2018-07-11,06:02:34,13:24:36,20:46:38,14:44:03
2018-07-12,06:03:15,13:24:44,20:46:13,14:42:57
2018-07-13,06:03:57,13:24:51,20:45:45,14:41:48
2018-07-14,06:04:40,13:24:58,20:45:16,14:40:36
2018-07-15,06:05:24,13:25:04,20:44:45,14:39:21
2018-07-16,06:06:08,13:25:10,20:44:13,14:38:04
2018-07-17,06:06:54,13:25:16,20:43:38,14:36:44
2018-07-18,06:07:40,13:25:21,20:43:01,14:35:21
2018-07-19,06:08:27,13:25:25,20:42:23,14:33:56
2018-07-20,06:09:14,13:25:29,20:41:43,14:32:28
2018-07-21,06:10:03,13:25:32,20:41:01,14:30:58
2018-07-22,06:10:51,13:25:35,20:40:18,14:29:26
2018-07-23,06:11:41,13:25:37,20:39:32,14:27:51
2018-07-24,06:12:31,13:25:38,20:38:45,14:26:14
2018-07-25,06:13:21,13:25:39,20:37:57,14:24:35
2018-07-26,06:14:12,13:25:39,20:37:06,14:22:53
2018-07-27,06:15:04,13:25:39,20:36:14,14:21:10
2018-07-28,06:15:56,13:25:38,20:35:21,14:19:24
2018-07-29,06:16:48,13:25:37,20:34:26,14:17:37
2018-07-30,06:17:41,13:25:35,20:33:29,14:15:48
2018-07-31,06:18:34,13:25:32,20:32:30,14:13:56
2018-08-01,06:19:27,13:25:29,20:31:31,14:12:03
2018-08-02,06:20:20,13:25:25,20:30:29,14:10:09
2018-08-03,06:21:14,13:25:20,20:29:27,14:08:12
2018-08-04,06:22:08,13:25:15,20:28:22,14:06:14
2018-08-05,06:23:02,13:25:09,20:27:17,14:04:14
2018-08-06,06:23:56,13:25:03,20:26:10,14:02:13
2018-08-07,06:24:51,13:24:56,20:25:02,14:00:11
2018-08-08,06:25:45,13:24:49,20:23:52,13:58:06
2018-08-09,06:26:40,13:24:41,20:22:41,13:56:01
2018-08-10,06:27:35,13:24:32,20:21:29,13:53:54
2018-08-11,06:28:29,13:24:23,20:20:16,13:51:46
2018-08-12,06:29:24,13:24:13,20:19:01,13:49:37
2018-08-13,06:30:19,13:24:02,20:17:46,13:47:26
2018-08-14,06:31:14,13:23:52,20:16:29,13:45:14
2018-08-15,06:32:09,13:23:40,20:15:11,13:43:02
2018-08-16,06:33:04,13:23:28,20:13:52,13:40:48
2018-08-17,06:33:59,13:23:16,20:12:32,13:38:33
2018-08-18,06:34:54,13:23:02,20:11:11,13:36:17
2018-08-19,06:35:49,13:22:49,20:09:49,13:34:00
2018-08-20,06:36:43,13:22:35,20:08:26,13:31:42
2018-08-21,06:37:38,13:22:20,20:07:03,13:29:24
2018-08-22,06:38:33,13:22:05,20:05:38,13:27:04
2018-08-23,06:39:28,13:21:50,20:04:12,13:24:44
2018-08-24,06:40:22,13:21:34,20:02:46,13:22:23
2018-08-25,06:41:17,13:21:18,20:01:19,13:20:02
2018-08-26,06:42:11,13:21:01,19:59:51,13:17:39
2018-08-27,06:43:06,13:20:44,19:58:22,13:15:16
2018-08-28,06:44:00,13:20:27,19:56:53,13:12:52
2018-08-29,06:44:54,13:20:09,19:55:23,13:10:28
2018-08-30,06:45:49,13:19:51,19:53:52,13:08:03
2018-08-31,06:46:43,13:19:32,19:52:21,13:05:38
2018-09-01,06:47:37,13:19:13,19:50:49,13:03:12
2018-09-02,06:48:31,13:18:54,19:49:17,13:00:45
2018-09-03,06:49:25,13:18:35,19:47:44,12:58:18
2018-09-04,06:50:19,13:18:15,19:46:11,12:55:51
2018-09-05,06:51:13,13:17:55,19:44:37,12:53:23
2018-09-06,06:52:07,13:17:35,19:43:03,12:50:55
2018-09-07,06:53:01,13:17:15,19:41:28,12:48:26
2018-09-08,06:53:55,13:16:54,19:39:53,12:45:57
2018-09-09,06:54:49,13:16:33,19:38:18,12:43:28
2018-09-10,06:55:43,13:16:12,19:36:42,12:40:59
2018-09-11,06:56:37,13:15:51,19:35:06,12:38:29
2018-09-12,06:57:31,13:15:30,19:33:30,12:35:59
2018-09-13,06:58:25,13:15:09,19:31:53,12:33:28
2018-09-14,06:59:19,13:14:48,19:30:17,12:30:58
2018-09-15,07:00:13,13:14:26,19:28:40,12:28:27
2018-09-16,07:01:07,13:14:05,19:27:03,12:25:56
2018-09-17,07:02:01,13:13:43,19:25:26,12:23:25
2018-09-18,07:02:55,13:13:22,19:23:49,12:20:53
2018-09-19,07:03:49,13:13:01,19:22:12,12:18:22
2018-09-20,07:04:44,13:12:39,19:20:35,12:15:50
2018-09-21,07:05:38,13:12:18,19:18:58,12:13:19
2018-09-22,07:06:33,13:11:57,19:17:20,12:10:47
2018-09-23,07:07:28,13:11:36,19:15:43,12:08:15
2018-09-24,07:08:23,13:11:15,19:14:06,12:05:43
2018-09-25,07:09:18,13:10:54,19:12:30,12:03:11
2018-09-26,07:10:13,13:10:33,19:10:53,12:00:39
2018-09-27,07:11:09,13:10:13,19:09:17,11:58:08
2018-09-28,07:12:04,13:09:52,19:07:40,11:55:36
2018-09-29,07:13:00,13:09:32,19:06:04,11:53:04
2018-09-30,07:13:56,13:09:12,19:04:29,11:50:32
2018-10-01,07:14:52,13:08:53,19:02:53,11:48:01
2018-10-02,07:15:49,13:08:33,19:01:18,11:45:29
2018-10-03,07:16:45,13:08:14,18:59:44,11:42:58
2018-10-04,07:17:42,13:07:56,18:58:09,11:40:26
2018-10-05,07:18:40,13:07:38,18:56:35,11:37:55
2018-10-06,07:19:37,13:07:20,18:55:02,11:35:24
2018-10-07,07:20:35,13:07:02,18:53:29,11:32:54
2018-10-08,07:21:33,13:06:45,18:51:57,11:30:23
2018-10-09,07:22:31,13:06:28,18:50:25,11:27:53
2018-10-10,07:23:30,13:06:12,18:48:54,11:25:23
2018-10-11,07:24:29,13:05:56,18:47:23,11:22:54
2018-10-12,07:25:28,13:05:41,18:45:53,11:20:25
2018-10-13,07:26:28,13:05:26,18:44:24,11:17:56
2018-10-14,07:27:28,13:05:12,18:42:56,11:15:27
2018-10-15,07:28:28,13:04:58,18:41:28,11:12:59
2018-10-16,07:29:29,13:04:45,18:40:01,11:10:32
2018-10-17,07:30:30,13:04:32,18:38:35,11:08:04
2018-10-18,07:31:31,13:04:20,18:37:09,11:05:38
2018-10-19,07:32:33,13:04:09,18:35:45,11:03:12
2018-10-20,07:33:34,13:03:58,18:34:21,11:00:46
2018-10-21,07:34:37,13:03:48,18:32:59,10:58:21
2018-10-22,07:35:39,13:03:38,18:31:37,10:55:57
2018-10-23,07:36:42,13:03:29,18:30:16,10:53:34
2018-10-24,07:37:46,13:03:21,18:28:57,10:51:11
2018-10-25,07:38:49,13:03:14,18:27:38,10:48:49
2018-10-26,07:39:53,13:03:07,18:26:21,10:46:28
2018-10-27,07:40:57,13:03:01,18:25:05,10:44:07
2018-10-28,07:42:02,13:02:56,18:23:50,10:41:48
2018-10-29,07:43:07,13:02:51,18:22:36,10:39:29
2018-10-30,07:44:12,13:02:48,18:21:24,10:37:12
2018-10-31,07:45:17,13:02:45,18:20:12,10:34:55
2018-11-01,07:46:23,13:02:43,18:19:03,10:32:40
2018-11-02,07:47:28,13:02:41,18:17:54,10:30:25
2018-11-03,07:48:34,13:02:41,18:16:47,10:28:12
2018-11-04,07:49:41,13:02:41,18:15:41,10:26:00
2018-11-05,07:50:47,13:02:42,18:14:37,10:23:49
2018-11-06,07:51:54,13:02:44,18:13:34,10:21:40
2018-11-07,07:53:00,13:02:47,18:12:33,10:19:32
2018-11-08,07:54:07,13:02:50,18:11:33,10:17:26
2018-11-09,07:55:14,13:02:55,18:10:35,10:15:21
2018-11-10,07:56:21,13:03:00,18:09:39,10:13:17
2018-11-11,07:57:28,13:03:06,18:08:44,10:11:15
2018-11-12,07:58:35,13:03:13,18:07:51,10:09:15
2018-11-13,07:59:42,13:03:21,18:07:00,10:07:17
2018-11-14,08:00:49,13:03:29,18:06:10,10:05:21
2018-11-15,08:01:56,13:03:39,18:05:22,10:03:26
2018-11-16,08:03:02,13:03:49,18:04:36,10:01:33
2018-11-17,08:04:09,13:04:00,18:03:52,09:59:43
2018-11-18,08:05:15,13:04:13,18:03:10,09:57:54
2018-11-19,08:06:21,13:04:25,18:02:30,09:56:08
2018-11-20,08:07:27,13:04:39,18:01:51,09:54:24
2018-11-21,08:08:32,13:04:54,18:01:15,09:52:42
2018-11-22,08:09:37,13:05:09,18:00:40,09:51:03
2018-11-23,08:10:42,13:05:25,18:00:08,09:49:26
2018-11-24,08:11:46,13:05:42,17:59:38,09:47:51
2018-11-25,08:12:50,13:05:59,17:59:09,09:46:19
2018-11-26,08:13:53,13:06:18,17:58:43,09:44:50
2018-11-27,08:14:55,13:06:37,17:58:19,09:43:24
2018-11-28,08:15:57,13:06:57,17:57:57,09:42:00
2018-11-29,08:16:58,13:07:17,17:57:37,09:40:39
2018-11-30,08:17:58,13:07:39,17:57:19,09:39:21
2018-12-01,08:18:57,13:08:01,17:57:04,09:38:06
2018-12-02,08:19:56,13:08:23,17:56:51,09:36:54
2018-12-03,08:20:54,13:08:46,17:56:39,09:35:45
2018-12-04,08:21:50,13:09:10,17:56:30,09:34:40
2018-12-05,08:22:46,13:09:35,17:56:24,09:33:37
2018-12-06,08:23:40,13:10:00,17:56:19,09:32:38
2018-12-07,08:24:34,13:10:25,17:56:17,09:31:42
2018-12-08,08:25:26,13:10:51,17:56:16,09:30:50
2018-12-09,08:26:17,13:11:18,17:56:18,09:30:01
2018-12-10,08:27:06,13:11:44,17:56:23,09:29:16
2018-12-11,08:27:55,13:12:12,17:56:29,09:28:34
2018-12-12,08:28:41,13:12:39,17:56:37,09:27:56
2018-12-13,08:29:27,13:13:08,17:56:48,09:27:21
2018-12-14,08:30:11,13:13:36,17:57:01,09:26:50
2018-12-15,08:30:53,13:14:05,17:57:16,09:26:23
2018-12-16,08:31:34,13:14:34,17:57:33,09:25:59
2018-12-17,08:32:13,13:15:03,17:57:53,09:25:39
2018-12-18,08:32:50,13:15:32,17:58:14,09:25:23
2018-12-19,08:33:26,13:16:02,17:58:37,09:25:11
2018-12-20,08:34:00,13:16:31,17:59:03,09:25:02
2018-12-21,08:34:32,13:17:01,17:59:30,09:24:58
2018-12-22,08:35:02,13:17:31,18:00:00,09:24:57
2018-12-23,08:35:31,13:18:01,18:00:31,09:25:00
2018-12-24,08:35:57,13:18:31,18:01:04,09:25:07
2018-12-25,08:36:21,13:19:00,18:01:39,09:25:17
2018-12-26,08:36:44,13:19:30,18:02:16,09:25:32
2018-12-27,08:37:05,13:20:00,18:02:55,09:25:50
2018-12-28,08:37:23,13:20:29,18:03:35,09:26:12
2018-12-29,08:37:39,13:20:58,18:04:17,09:26:37
2018-12-30,08:37:54,13:21:27,18:05:01,09:27:07
2018-12-31,08:38:06,13:21:56,18:05:47,09:27:40
